C:\Users\yunheishere\Desktop\毕业设计\Drawing1.dwg,模型,2025/4/30 15:43:07,yunheishere,PublishToWeb JPG.pc3,XGA (768.00 x 1024.00 像素),1:0.0641541,
C:\Users\yunheishere\Desktop\毕业设计\cad\非溢流坝段剖面图.dwg,模型,2025/5/4 18:44:19,yunheishere,Microsoft XPS Document Writer,A4,1:1.3999,
C:\Users\yunheishere\Desktop\毕业设计\cad\非溢流坝段剖面图.dwg,模型,2025/5/4 18:45:09,yunheishere,Microsoft Print to PDF,A4,1:1.3999,
C:\Users\yunheishere\Desktop\毕业设计\cad\非溢流坝段剖面图.dwg,模型,2025/5/4 18:46:30,yunheishere,Microsoft Print to PDF,A3,1:0.989863,
C:\Users\yunheishere\Desktop\毕业设计\cad\非溢流坝段剖面图.dwg,模型,2025/5/4 18:47:19,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\平面布置图.dwg,模型,2025/5/4 18:48:44,yunheishere,Microsoft Print to PDF,A3,1:0.931024,
C:\Users\yunheishere\Desktop\毕业设计\cad\溢流坝段剖面图.dwg,模型,2025/5/4 18:50:01,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\上游立视图.dwg,模型,2025/5/4 18:59:33,yunheishere,Microsoft Print to PDF,A3,1:0.930954,
C:\Users\yunheishere\Desktop\毕业设计\cad\非溢流坝段剖面图.dwg,模型,2025/5/4 19:01:26,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\平面布置图.dwg,模型,2025/5/4 19:02:06,yunheishere,Microsoft Print to PDF,A3,1:0.931024,
C:\Users\yunheishere\Desktop\毕业设计\cad\溢流坝段剖面图.dwg,模型,2025/5/4 19:03:34,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\其他.dwg,模型,2025/5/4 19:04:12,yunheishere,Microsoft Print to PDF,A3,1:0.931024,
C:\Users\yunheishere\Desktop\毕业设计\cad\溢流坝段剖面图.dwg,模型,2025/5/4 19:07:26,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\非溢流坝段剖面图.dwg,模型,2025/5/4 19:08:34,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\溢流坝段剖面图.dwg,模型,2025/5/4 19:09:19,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\其他.dwg,模型,2025/5/4 19:09:45,yunheishere,Microsoft Print to PDF,A3,1:0.931024,
C:\Users\yunheishere\Desktop\毕业设计\cad\溢流坝段剖面图.dwg,模型,2025/5/4 23:52:14,yunheishere,Microsoft Print to PDF,A3,1:0.700018,
C:\Users\yunheishere\Desktop\毕业设计\cad\上游立视图.dwg,模型,2025/5/5 9:40:36,yunheishere,Microsoft Print to PDF,A3,1:0.930954,
C:\Users\yunheishere\Desktop\毕业设计\cad\上游立视图.dwg,模型,2025/5/5 13:28:35,yunheishere,Microsoft Print to PDF,A4,1:1.3165,
C:\Users\yunheishere\Desktop\毕业设计\cad\平面布置图.dwg,模型,2025/5/5 13:34:27,yunheishere,Microsoft Print to PDF,A3,1:0.931024,
C:\Users\yunheishere\Desktop\毕业设计\cad\上游立视图.dwg,模型,2025/5/5 13:39:04,yunheishere,Microsoft Print to PDF,A3,1:0.930954,
C:\Users\yunheishere\Desktop\毕业设计\cad\平面布置图.dwg,模型,2025/5/5 13:40:36,yunheishere,Microsoft Print to PDF,A3,1:0.931024,
